keyframe,time_s,duration_s,source_line_start,source_line_end,D13,F19,E15,F20,E16,E17,F21,F22,E18,A1,B7,B8,A2,B9,A3,A5,A4,B10,B11,B12,A6
0,0.0,0.0,0,0,0.0,-0.0,-0.0,0.17453292519943295,-0.17453292519943295,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
1,0.334,0.334,1,8,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
2,0.666,0.332,9,16,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
3,1.166,0.5,17,28,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.0859029241215959,0.0859029241215959,0.0859029241215959,-0.1733398355760624,-0.1733398355760624,-0.0859029241215959,-0.0061359144248963274,0.004601944545318731
4,1.498,0.332,29,36,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.0859029241215959,0.0859029241215959,0.0859029241215959,-0.1733398355760624,-0.1733398355760624,-0.0859029241215959,-0.0061359144248963274,0.004601944545318731
5,5.516,4.018,37,44,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.0859029241215959,0.0859029241215959,0.0859029241215959,-0.1733398355760624,-0.1733398355760624,-0.0859029241215959,-0.0061359144248963274,0.004601944545318731
6,6.016,0.5,45,56,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.0859029241215959,0.0859029241215959,0.0859029241215959,-0.1733398355760624,-0.1733398355760624,-0.0859029241215959,-0.0061359144248963274,0.0061359144248963274
7,7.498,1.482,57,68,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,0.030679607031066588,-0.06749516339361444,0.0920388559997847,0.08130097957627717,0.0920388559997847,-0.1733398355760624,-0.1948155535164915,-0.10277671496999978,0.06289321884829621,0.06749516339361444
8,11.052,3.554,69,76,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.030679607031066588,-0.06749516339361444,0.0920388559997847,0.08130097957627717,0.0920388559997847,-0.1733398355760624,-0.1948155535164915,-0.10277671496999978,0.06289321884829621,0.06749516339361444
9,12.126,1.074,77,88,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.09817477042468103,-0.14572816830415097,0.07056312060606261,0.07056312060606261,0.10277671496999978,-0.1733398355760624,-0.1733398355760624,-0.10124272763712919,0.15339807006191788,0.14112624121212522
10,12.946,0.82,89,100,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.0015339873328705678,-0.0,0.107378659515318,-0.17640779278851054,0.05522329963723685,0.5384272500028751,0.30679615757712825,-0.8329515612769183,-0.1733398355760624,-0.1150485612730849,0.16260195915255485,0.16260195915255485
11,14.738,1.792,101,106,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.010737858970214563,-0.0,0.107378659515318,-0.12885437745574763,0.05522329963723685,0.31446605933489463,-0.052155342424788684,-0.1733398355760624,-0.1733398355760624,-0.1150485612730849,0.16260195915255485,0.12885437745574763
12,14.942,0.204,107,112,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.010737858970214563,-0.0,0.107378659515318,-0.12885437745574763,0.04908738521234052,0.31446605933489463,-0.052155342424788684,-0.1733398355760624,-0.1733398355760624,-0.11965050581840314,0.16260195915255485,0.12885437745574763
13,15.336,0.394,113,118,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.0061359144248963274,-0.0,0.107378659515318,-0.11044661672776615,0.04908738521234052,0.30526217024425767,-0.07669903503095894,-0.1733398355760624,-0.1733398355760624,-0.11965050581840314,0.16260195915255485,0.11044661672776615
14,15.772,0.436,119,124,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.0061359144248963274,-0.0,0.10584467218244743,-0.11044661672776615,0.03374758169680722,0.30526217024425767,-0.07669903503095894,-0.1733398355760624,-0.1733398355760624,-0.13499030933393644,0.15800001460723612,0.11044661672776615
15,17.78,2.008,125,130,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.10584467218244743,-0.0061359144248963274,0.03374758169680722,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.13499030933393644,0.15800001460723612,0.0061359144248963274
16,18.536,0.756,131,136,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.09510681321223287,-0.0061359144248963274,-0.0,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.16720390369787308,0.13959225387925514,0.0061359144248963274
17,19.324,0.788,137,142,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.06442718872787381,-0.0061359144248963274,-0.03834952624212595,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.20248545527425837,0.10431068484957737,0.0061359144248963274
18,21.332,2.008,143,148,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
19,21.666,0.334,168,175,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
20,21.998,0.332,176,183,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
21,22.498,0.5,184,195,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
22,22.830000000000002,0.332,196,203,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
23,26.848000000000003,4.018,204,211,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
24,27.348000000000003,0.5,212,223,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2699806186678729,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2699806186678729,-0.0061359144248963274,0.0061359144248963274
25,28.830000000000002,1.482,224,235,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
26,32.384,3.554,236,243,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
27,33.456,1.072,244,255,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.019941748060851527,-0.1487961429698921,0.09817477042468103,-0.013805833635955696,0.1595340019401067,0.021475735393722096,-0.1733398355760624,-0.4387185096986165,-0.31446605933489463,-0.14572816830415097,-0.15339807006191788
28,34.276,0.82,256,267,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.10124272763712919,0.07363107781851078,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
29,34.480000000000004,0.204,268,273,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
30,36.272000000000006,1.792,274,279,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.107378659515318,0.3221359610926615,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.16260195915255485
31,36.708000000000006,0.436,280,285,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.10584467218244743,0.3221359610926615,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.15646604472765852
32,37.102000000000004,0.394,286,291,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.10584467218244743,0.30833014490999877,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.15646604472765852
33,37.856,0.754,292,297,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.09510681321223287,0.30833014490999877,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.13959225387925514
34,39.866,2.01,298,303,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.09510681321223287,0.2715146060007434,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.13959225387925514
35,40.653999999999996,0.788,304,309,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.06442718872787381,0.2715146060007434,-0.03374758169680722,0.19788352818223262,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.10431068484957737
36,42.663999999999994,2.01,310,315,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
