keyframe,time_s,duration_s,source_line_start,source_line_end,D13,F19,E15,F20,E16,E17,F21,F22,E18,A1,B7,B8,A2,B9,A3,A5,A4,B10,B11,B12,A6
37,42.998,0.334,335,342,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
38,43.33,0.332,343,350,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
39,43.83,0.5,351,362,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
40,44.162,0.332,363,370,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
41,48.18,4.018,371,378,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,-0.0061359144248963274,-0.004601944545318731,0.273048575880321,-0.09510681321223287,0.2715146060007434,-0.1733398355760624,-0.17640779278851054,0.0935728258793623,-0.0061359144248963274,0.004601944545318731
42,48.68,0.5,379,390,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2699806186678729,-0.09664078309181047,0.2699806186678729,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
43,50.162,1.482,391,402,0.0,-0.12578642024329947,-0.28992236672872435,0.27577565283656214,-0.2987853755631548,0.4015961750681163,0.16367575726688133,-0.2883883968491468,-0.27918450775850984,0.0,-0.0,0.03221359436393666,-0.06902913327319204,0.33594179472861724,-0.12885437745574763,0.30372820036468007,-0.1733398355760624,-0.3666214017596833,-0.030679607031066588,0.06442718872787381,0.06902913327319204
44,53.716,3.554,403,410,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.03221359436393666,-0.06902913327319204,0.33594179472861724,-0.12885437745574763,0.30372820036468007,-0.1733398355760624,-0.3666214017596833,-0.030679607031066588,0.06442718872787381,0.06902913327319204
45,54.788000000000004,1.072,411,422,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.019941748060851527,-0.0,0.09817477042468103,-0.1487961429698921,0.1595340019401067,-0.013805833635955696,0.31446605933489463,-0.4387185096986165,-0.1733398355760624,-0.021475735393722096,0.15339807006191788,0.14572816830415097
46,55.608000000000004,0.82,423,434,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.013805833635955696,-0.0,0.107378659515318,-0.17794176266808814,0.10124272763712919,0.44332045424393524,0.30986411478957643,-0.8513593394581928,-0.1733398355760624,-0.07363107781851078,0.16260195915255485,0.16413594648542543
47,57.400000000000006,1.792,435,440,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.010737858970214563,-0.0,0.107378659515318,-0.12885437745574763,0.10124272763712919,0.3221359610926615,-0.05982524418255508,-0.1733398355760624,-0.1733398355760624,-0.07363107781851078,0.16260195915255485,0.12885437745574763
48,57.604000000000006,0.204,441,446,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.010737858970214563,-0.0,0.107378659515318,-0.12885437745574763,0.0859029241215959,0.3221359610926615,-0.05982524418255508,-0.1733398355760624,-0.1733398355760624,-0.08743691145446647,0.16260195915255485,0.12885437745574763
49,57.998000000000005,0.394,447,452,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.0061359144248963274,-0.0,0.107378659515318,-0.11044661672776615,0.0859029241215959,0.30833014490999877,-0.07516506515138134,-0.1733398355760624,-0.1733398355760624,-0.08743691145446647,0.16260195915255485,0.11044661672776615
50,58.434000000000005,0.436,453,458,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,-0.0061359144248963274,-0.0,0.10584467218244743,-0.11044661672776615,0.05522329963723685,0.30833014490999877,-0.07516506515138134,-0.1733398355760624,-0.1733398355760624,-0.1150485612730849,0.15646604472765852,0.11044661672776615
51,60.444,2.01,459,464,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.10584467218244743,-0.0061359144248963274,0.05522329963723685,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.1150485612730849,0.15646604472765852,0.0061359144248963274
52,61.198,0.754,465,470,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.09510681321223287,-0.0061359144248963274,0.007669901757766398,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.15800001460723612,0.13959225387925514,0.0061359144248963274
53,61.986,0.788,471,476,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,0.06442718872787381,-0.0061359144248963274,-0.03374758169680722,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.19788352818223262,0.10431068484957737,0.0061359144248963274
54,63.995999999999995,2.01,477,482,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
55,64.33,0.334,502,509,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
56,64.66199999999999,0.332,510,517,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2715146060007434,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2715146060007434,-0.0061359144248963274,0.0061359144248963274
57,65.16199999999999,0.5,518,529,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
58,65.49399999999999,0.332,530,537,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
59,69.51199999999999,4.018,538,545,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.004601944545318731,-0.0061359144248963274,-0.09510681321223287,0.273048575880321,-0.0935728258793623,-0.17640779278851054,-0.1733398355760624,-0.2715146060007434,-0.004601944545318731,0.0061359144248963274
60,70.01199999999999,0.5,546,557,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,-0.09664078309181047,0.2699806186678729,-0.09664078309181047,-0.1733398355760624,-0.1733398355760624,-0.2699806186678729,-0.0061359144248963274,0.0061359144248963274
61,71.49399999999999,1.482,558,569,0.0,0.28992236672872435,0.12578642024329947,0.2987853755631548,-0.27577565283656214,0.16367575726688133,0.4015961750681163,-0.27918450775850984,-0.2883883968491468,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
62,75.04799999999999,3.554,570,577,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.06902913327319204,0.03221359436393666,-0.12885437745574763,0.33594179472861724,0.030679607031066588,-0.3666214017596833,-0.1733398355760624,-0.30372820036468007,-0.06902913327319204,-0.06442718872787381
63,76.11999999999999,1.072,578,589,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.019941748060851527,-0.1487961429698921,0.09817477042468103,-0.013805833635955696,0.1595340019401067,0.021475735393722096,-0.1733398355760624,-0.4387185096986165,-0.31446605933489463,-0.14572816830415097,-0.15339807006191788
64,76.93999999999998,0.82,590,601,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.10124272763712919,0.07363107781851078,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
65,77.14399999999998,0.204,602,607,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,0.013805833635955696,-0.17794176266808814,0.107378659515318,0.44332045424393524,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.8513593394581928,-0.30986411478957643,-0.16413594648542543,-0.16260195915255485
66,78.93599999999998,1.792,608,613,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.107378659515318,0.3221359610926615,0.0859029241215959,0.08743691145446647,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.16260195915255485
67,79.37199999999999,0.436,614,619,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.010737858970214563,-0.12885437745574763,0.10584467218244743,0.3221359610926615,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.05982524418255508,-0.12885437745574763,-0.15646604472765852
68,79.76599999999999,0.394,620,625,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.10584467218244743,0.30833014490999877,0.05522329963723685,0.1150485612730849,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.15646604472765852
69,80.52,0.754,626,631,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0061359144248963274,-0.11044661672776615,0.09510681321223287,0.30833014490999877,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.07516506515138134,-0.11044661672776615,-0.13959225387925514
70,82.53,2.01,632,637,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.09510681321223287,0.2715146060007434,0.007669901757766398,0.15800001460723612,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.13959225387925514
71,83.318,0.788,638,643,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,0.06442718872787381,0.2715146060007434,-0.03374758169680722,0.19788352818223262,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,-0.10431068484957737
72,85.328,2.01,644,649,0.0,0.1227184630308513,-0.1227184630308513,0.29111547380538794,-0.29111547380538794,0.31891460340159683,0.31891460340159683,-0.28225246497095796,-0.28225246497095796,0.0,-0.0,-0.0061359144248963274,-0.0061359144248963274,0.2715146060007434,-0.09664078309181047,0.2715146060007434,-0.1733398355760624,-0.1733398355760624,0.09664078309181047,-0.0061359144248963274,0.0061359144248963274
